   Symbol Frequency
     e,      14.29%
     t,      8.83%
     a,      7.23%
     r,      6.95%
     i,      6.89%
     s,      6.61%
     o,      6.61%
     h,      6.21%
     n,      5.75%
     c,      4.61%
     l,      3.82%
     f,      3.82%
     d,      2.79%
     m,      2.11%
     u,      1.94%
     w,      1.82%
     g,      1.65%
     p,      1.59%
     b,      1.42%
     y,      1.37%
     v,      0.80%
     x,      0.46%
     T,      0.46%
     q,      0.40%
     H,      0.28%
     2,      0.17%
     1,      0.17%
     k,      0.11%
     W,      0.11%
     I,      0.11%
     5,      0.11%
     j,      0.06%
     G,      0.06%
     F,      0.06%
     C,      0.06%
     9,      0.06%
     6,      0.06%
     4,      0.06%
     3,      0.06%
     0,      0.06%

   Symbol Huffman Codes
     e,      110
     t,      000
     a,      1011
     r,      1010
     i,      1001
     s,      1000
     o,      0111
     h,      0110
     n,      0100
     c,      0010
     l,      11110
     f,      11101
     d,      01010
     m,      00110
     u,      111110
     w,      111001
     g,      111000
     p,      010110
     b,      001111
     y,      001110
     v,      0101110
     x,      11111101
     T,      11111100
     q,      01011110
     H,      111111110
     2,      1111111111
     1,      1111111110
     k,      1111111010
     W,      0101111101
     I,      0101111100
     5,      0101111111
     j,      11111110110
     G,      111111101111
     F,      111111101110
     C,      11111110001
     9,      11111110000
     6,      11111110011
     4,      11111110010
     3,      01011111101
     0,      01011111100
   Total Bits: 7490
